cik,sic,conm
8,4841,MOVIE SYSTEMS INC
20,3823,K-TRON INTERNATIONAL INC
51,7385,UC CORP
205,1311,BALCO ENERGY CORP
212,3357,BIW CABLE SYSTEMS INC
1750,5080,AAR CORP
1761,2670,TRANZONIC COS
1800,3845,ABBOTT LABORATORIES
1857,2300,AMC INVESTORS INC
1866,3743,ABEX CORP
1882,3652,ABKCO INDUSTRIES INC
1923,8700,SERVIDYNE INC
1969,4955,AMETECH INC
1985,6331,ACCEL INTL CORP
2031,1311,WRIGHT ENERGY CORP
2034,5160,ACETO CORP
2062,6351,ACMAT CORP  -CL A
2070,3612,ACME ELECTRIC CORP
2075,3420,ACME GENERAL CORP
2098,3842,ACME UNITED CORP
2131,5990,D O C OPTICS CORP
2134,3357,ACS INDUSTRIES INC
2135,7374,AFFILIATED COMPUTER SERVICES
2145,5020,
2166,3060,ACUSHNET CO
2178,5172,ADAMS RESOURCES & ENERGY INC
2186,3663,BK TECHNOLOGIES CORP
2230,6726,ADAMS DIVERSIFIED EQUITY FD
2308,3578,ADDMASTER CORP
2310,5040,MULTIGRAPHICS INC
2369,4210,ADLEY CORP
2387,3651,ADMIRAL CORP
2408,5030,ADOBE BUILDING CENTERS INC
2457,6099,ADVANCE ROSS CORP
2463,3412,ADVANCED CHEMICAL TECHNOLOGY
2467,7373,ADVANCED COMPUTER TECHNIQUES
2485,3674,INTERSIL INC
2488,3674,ADVANCED MICRO DEVICES
2491,3990,BALLY TECHNOLOGIES INC
2506,3651,ADVENT CORP
2517,2750,ADVERTISING UNLIMITED INC
2552,3730,AEGIS CORP
2589,8711,AERO SYSTEMS ENGINEERING INC
2590,5080,AERO SYSTEMS INC
2597,3724,AERODEX INC
2601,3825,AEROFLEX INC
2602,3721,AEROJET GENERAL CORP
2611,3728,AERONCA INC
2618,2834,ARMSTRONG PHARMACEUTICALS
2636,3670,AEROVOX CORP
2638,3861,AES TECHNOLOGY SYSTEMS INC
2668,7380,AFA PROTECTIVE SYSTEMS INC
2682,6020,AFFILIATED BANKSHARES COLO
2684,6552,AFFILIATED CAPITAL CORP
2741,2300,AFTER SIX INC
2751,6211,REFINEMET INTERNATIONAL CO
2801,3714,AGM INDUSTRIES INC
2809,1040,AGNICO EAGLE MINES LTD
2825,1311,TEXAS AMERICAN RESOURCES
2844,5045,AGS COMPUTERS INC
2850,6500,AGUIRRE CO
2880,5040,A I C INTL INC
2886,8062,AID INC-DEL CL A
2899,3812,AIKEN INDUSTRIES INC
2904,2253,AILEEN INC
2926,4512,AIR CALIFORNIA
2929,3537,AIR CARGO EQUIPMENT CORP
2969,2810,AIR PRODUCTS & CHEMICALS INC
3000,4513,AIRBORNE INC
3010,2810,AIRCO INC
3042,4512,AIRLIFT INTERNATIONAL INC
3050,3679,AIRPAX ELECTRONICS INC
3055,2300,ARPEJA CALIFORNIA INC
3086,2840,AIRWICK INDUSTRIES INC
3094,3560,AJAX MAGNETHERMIC CORP
3116,2834,AKORN INC
3124,2851,AKZO NOBEL NV
3133,6020,AMSOUTH BANCORPORATION
3193,7350,ALANTHUS CORP
3197,3564,CECO ENVIRONMENTAL CORP
3235,5731,MICROFAST SOFTWARE CORP
3241,1600,ALASKA INTL INDUSTRIES INC
3292,2250,ALBA-WALDENSIAN INC
