filename,competitors_new,competitors_ciks_new,competitors_old,competitors_ciks_old
CIK1001193_10K_20060316.txt,,,Advanced Micro Devices|Intel Corporation|VIA Technologies,2488|50863|-1
CIK1001193_10K_20070330.txt,,,Intel Corporation,50863
CIK1001426_10K_20050915.txt,"Analog Devices|Connor Winfield|Cypress Semiconductor Corporation|Ecliptek|Epson|Fairchild Semiconductor Int’l.|Fox|Hitachi|Integrated Circuit Systems, Inc.|Integrated Device Technology, Inc.|Intel Corp.|KDS|KED|Maxim Integrated Products, Inc.|Motorola|Mtron|NDK|On Semiconductor Corp.|PLX Technology|Philips|Raltron|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.|Vectron",6281|-1|791915|-1|-1|-1|1754301|47710|874689|703361|50863|737686|1363890|743316|68505|-1|-1|1097864|850579|205778|-1|932787|97476|98573|-1|-1,"Analog Devices|Cypress Semiconductor Corporation|Fairchild Semiconductor Int’l.|Hitachi|Integrated Circuit Systems, Inc.|Integrated Device Technology, Inc.|Intel Corp.|Maxim Integrated Products, Inc.|Motorola|On Semiconductor Corp.|PLX Technology|Philips|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.",6281|791915|-1|47710|874689|703361|50863|743316|68505|1097864|850579|205778|932787|97476|98573|-1
CIK1001426_10K_20060914.txt,"Analog Devices|Connor Winfield|Cypress Semiconductor Corporation|Ecliptek|Epson|Fairchild Semiconductor Int’l.|Fox|Hitachi|Integrated Device Technology, Inc.|Intel Corp.|KDS|KED|Maxim Integrated Products, Inc.|Motorola|Mtron|NDK|On Semiconductor Corp.|PLX Technology|Philips|Raltron|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.|Vectron",6281|-1|791915|-1|-1|-1|1754301|47710|703361|50863|737686|1363890|743316|68505|-1|-1|1097864|850579|205778|-1|932787|97476|98573|-1|-1,"Analog Devices|Cypress Semiconductor Corporation|Fairchild Semiconductor Int’l.|Hitachi|Integrated Device Technology, Inc.|Intel Corp.|Maxim Integrated Products, Inc.|Motorola|On Semiconductor Corp.|PLX Technology|Philips|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.",6281|791915|-1|47710|703361|50863|743316|68505|1097864|850579|205778|932787|97476|98573|-1
CIK1001426_10K_20070920.txt,"Analog Devices|Connor Winfield|Cypress Semiconductor Corporation|Ecliptek|Epson|Fairchild Semiconductor Int’l.|Fox|Hitachi|Integrated Device Technology, Inc.|Intel Corp.|KDS|KED|Maxim Integrated Products, Inc.|Motorola|Mtron|NDK|NXP|On Semiconductor Corp.|PLX Technology|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.|Vectron",6281|-1|791915|-1|-1|-1|1754301|47710|703361|50863|737686|1363890|743316|68505|-1|-1|1413447|1097864|850579|932787|97476|98573|-1|-1,"Analog Devices|Connor Winfield|Cypress Semiconductor Corporation|Ecliptek|Epson|Fairchild Semiconductor Int'l.|Fox|Hitachi|Integrated Device Technology, Inc.|Intel Corp.|KDS|KED|Maxim Integrated Products, Inc.|Motorola|Mtron|NDK|On Semiconductor Corp.|PLX Technology|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.|Vectron",6281|-1|791915|-1|-1|-1|1754301|47710|703361|50863|737686|1363890|743316|68505|-1|-1|1097864|850579|932787|97476|98573|-1|-1
CIK1001426_10K_20120831.txt,"Analog Devices|Cypress Semiconductor Corporation|Fairchild Semiconductor International|Hitachi|Integrated Device Technology, Inc.|Maxim Integrated Products, Inc.|Motorola|NXP|On Semiconductor Corp.|PLX Technology|Parade Technologies|STMicroelectronics|Silicon Laboratories, Inc.|Texas Instruments, Inc.|Toshiba",6281|791915|1036960|47710|703361|743316|68505|1413447|1097864|850579|-1|932787|1038074|97476|98573,"Analog Devices|Connor Winfield Ltd.|Cypress Semiconductor Corporation|Daishinku Corporation|Ecliptek Corporation|Epson Toyocom Corporation|Fairchild Semiconductor International|Fox Electronics|Hitachi|Hosonic Electronic Co, Ltd|Integrated Device Technology, Inc.|Kyocera Kinseki Corporation|Maxim Integrated Products, Inc.|Motorola|Mtron PTI|NXP|Nihon Dempa Kogyo Company, Ltd.|On Semiconductor Corp.|PLX Technology|Parade Technologies|STMicroelectronics|Silicon Laboratories, Inc.|Siward Crystal Technology Co, Ltd|TXC Corporation|Taitien Electronics Co, Ltd|Texas Instruments, Inc.|Toshiba|Vectron International, Inc.",6281|-1|791915|-1|-1|-1|1036960|-1|47710|-1|703361|-1|743316|68505|-1|1413447|-1|1097864|850579|-1|932787|1038074|-1|845615|-1|97476|98573|-1
CIK1001426_10K_20130829.txt,"Analog Devices|Fairchild Semiconductor International|Hitachi|Integrated Device Technology, Inc.|Maxim Integrated Products, Inc.|NXP|On Semiconductor Corp.|PLX Technology|Parade Technologies|STMicroelectronics|Silicon Laboratories, Inc.|Texas Instruments, Inc.",6281|1036960|47710|703361|743316|1413447|1097864|850579|-1|932787|1038074|97476,"Analog Devices|Connor Winfield Ltd.|Cypress Semiconductor|Daishinku Corporation|Ecliptek Corporation|Epson Toyocom Corporation|Fairchild Semiconductor|Hitachi|Hosonic Electronic Co, Ltd|Integrated Device Technology|Kyocera Kinseki Corporation|Maxim Integrated Products|Motorola|Mtron PTI|NXP|Nihon Dempa Kogyo Company, Ltd|On Semiconductor|PLX Technology|Parade Technologies|STMicroelectronics|Silicon Laboratories|Siward Crystal Technology Co, Ltd|TXC Corporation|Taitien Electronics Co, Ltd|Texas Instruments|Toshiba|Vectron International, Inc.",6281|-1|791915|-1|-1|-1|1036960|47710|-1|703361|-1|743316|68505|-1|1413447|-1|1097864|850579|-1|932787|1038074|-1|845615|-1|97476|98573|-1
CIK1001426_10K_20140829.txt,Analog Devices|Avago Technologies|Cypress Semiconductor|Fairchild Semiconductor|Hitachi|Integrated Device Technology|Maxim Integrated Products|Motorola|NXP|On Semiconductor|Parade Technologies|STMicroelectronics|Silicon Laboratories|Texas Instruments|Toshiba,6281|-1|791915|1036960|47710|703361|743316|68505|1413447|1097864|-1|932787|1038074|97476|98573,Analog Devices|Avago Technologies|Connor Winfield|Cypress Semiconductor|Daishinku Corporation|Ecliptek Corporation|Epson Toyocom|Fairchild Semiconductor|Hitachi|Hosonic Electronic|Integrated Device Technology|Kyocera Kinseki|Maxim Integrated Products|Motorola|Mtron PTI|NXP|Nihon Dempa Kogyo Company|On Semiconductor|Parade Technologies|STMicroelectronics|Silicon Laboratories|Siward Crystal Technology|TXC Corporation|Taitien Electronics|Texas Instruments|Toshiba|Vectron International,6281|-1|-1|791915|-1|-1|-1|1036960|47710|-1|703361|-1|743316|68505|-1|1413447|-1|1097864|-1|932787|1038074|-1|845615|-1|97476|98573|-1
CIK1001426_10K_20150901.txt,"Analog Devices|Avago Technologies|Fairchild Semiconductor International|Hitachi|Integrated Device Technology, Inc.|Maxim Integrated Products, Inc.|NXP|On Semiconductor Corp.|Parade Technologies|STMicroelectronics|Silicon Laboratories, Inc.|Texas Instruments, Inc.",6281|-1|1036960|47710|703361|743316|1413447|1097864|-1|932787|1038074|97476,"Analog Devices|Avago Technologies|Connor Winfield Ltd.|Cypress Semiconductor|Daishinku Corporation|Ecliptek Corporation|Epson Toyocom Corporation|Fairchild Semiconductor International|Hitachi|Hosonic Electronic Co, Ltd|Integrated Device Technology, Inc.|Kyocera Kinseki Corporation|Maxim Integrated Products, Inc.|Motorola|Mtron PTI|NXP|Nihon Dempa Kogyo Company, Ltd|On Semiconductor Corp.|Parade Technologies|STMicroelectronics|Silicon Laboratories, Inc.|Siward Crystal Technology Co, Ltd|TXC Corporation|Taitien Electronics Co, Ltd|Texas Instruments, Inc.|Toshiba|Vectron International, Inc.",6281|-1|-1|791915|-1|-1|-1|1036960|47710|-1|703361|-1|743316|68505|-1|1413447|-1|1097864|-1|932787|1038074|-1|845615|-1|97476|98573|-1
CIK1003022_10K_20010402.txt,C-Cube|Cirrus Logic|Crystal Semiconductor|Divio|ESS|Fujitsu|LuxSonor|Matsushita|Motorola|National Semiconductor|STMicroelectronics|Sony|Sunplus|Winbond|Yamaha,1102056|772406|-1|-1|907410|39341|-1|-1|68505|70530|932787|313838|-1|-1|-1,C-Cube|C-Cube Microsystems|Cirrus Logic|Cirrus Logic (Crystal Semiconductor)|Conexant|Crystal Semiconductor|David Sarnoff Research Center|Divio|ESS|Fujitsu|LSI Logic|LuxSonor|Matsushita|Motorola|National Semiconductor|SICAN Microelectronics|STMicroelectronics|Sony|Sunplus|Texas Instruments|Winbond|Yamaha,1102056|-1|772406|772406|1069353|-1|-1|-1|907410|39341|-1|-1|-1|68505|70530|-1|932787|313838|-1|97476|-1|-1
