filename,competitors_new,competitors_ciks_new,competitors_old,competitors_ciks_old
CIK1001193_10K_20070330.txt,,,Intel Corporation,50863
CIK1001426_10K_20050915.txt,"Analog Devices|Connor Winfield|Cypress Semiconductor Corporation|Ecliptek|Epson|Fairchild Semiconductor Int’l.|Fox|Hitachi|Integrated Circuit Systems, Inc.|Integrated Device Technology, Inc.|Intel Corp.|KDS|KED|Maxim Integrated Products, Inc.|Motorola|Mtron|NDK|On Semiconductor Corp.|PLX Technology|Philips|Raltron|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.|Vectron",6281|-1|791915|-1|-1|-1|1754301|47710|874689|703361|50863|737686|1363890|743316|68505|-1|-1|1097864|850579|205778|-1|932787|97476|98573|-1|-1,"Analog Devices|Cypress Semiconductor Corporation|Fairchild Semiconductor Int’l.|Hitachi|Integrated Circuit Systems, Inc.|Integrated Device Technology, Inc.|Intel Corp.|Maxim Integrated Products, Inc.|Motorola|On Semiconductor Corp.|PLX Technology|Philips|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.",6281|791915|-1|47710|874689|703361|50863|743316|68505|1097864|850579|205778|932787|97476|98573|-1
CIK1001426_10K_20060914.txt,3Com|Canon|Changhong|Cisco|Dell|Fujitsu|HP|Haier|IBM|Intel|LGE|Lexmark|Lucent|Nortel|Samsung|Sharp|Skyworth|Sony|TCL|Toshiba|Xerox|ZTE,-1|16988|-1|858877|1571996|39341|47217|-1|353524|50863|861388|-1|1006240|72911|-1|800840|-1|313838|1287073|98573|1770450|-1,"Analog Devices|Cypress Semiconductor Corporation|Fairchild Semiconductor Int’l.|Hitachi|Integrated Device Technology, Inc.|Intel Corp.|Maxim Integrated Products, Inc.|Motorola|On Semiconductor Corp.|PLX Technology|Philips|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.",6281|791915|-1|47710|703361|50863|743316|68505|1097864|850579|205778|932787|97476|98573|-1
CIK1001426_10K_20070920.txt,,,"Analog Devices|Connor Winfield|Cypress Semiconductor Corporation|Ecliptek|Epson|Fairchild Semiconductor Int'l.|Fox|Hitachi|Integrated Device Technology, Inc.|Intel Corp.|KDS|KED|Maxim Integrated Products, Inc.|Motorola|Mtron|NDK|On Semiconductor Corp.|PLX Technology|STMicroelectronics|Texas Instruments, Inc.|Toshiba|Tundra Semiconductor Corp.|Vectron",6281|-1|791915|-1|-1|-1|1754301|47710|703361|50863|737686|1363890|743316|68505|-1|-1|1097864|850579|932787|97476|98573|-1|-1
CIK1003022_10K_20010402.txt,,,C-Cube|C-Cube Microsystems|Cirrus Logic|Cirrus Logic (Crystal Semiconductor)|Conexant|Crystal Semiconductor|David Sarnoff Research Center|Divio|ESS|Fujitsu|LSI Logic|LuxSonor|Matsushita|Motorola|National Semiconductor|SICAN Microelectronics|STMicroelectronics|Sony|Sunplus|Texas Instruments|Winbond|Yamaha,1102056|-1|772406|772406|1069353|-1|-1|-1|907410|39341|-1|-1|-1|68505|70530|-1|932787|313838|-1|97476|-1|-1
CIK1003022_10K_20030331.txt,ALi Corporation|Atmel|Cirrus Logic|Divio|ESS|Fujitsu|LSI Logic|Matsushita|MediaTek|Motorola|National Semiconductor|Omnivision|STMicroelectronics|Sony|Sunplus|Texas Instruments|Winbond|Yamaha,863928|872448|772406|-1|907410|39341|-1|-1|-1|68505|70530|1106851|932787|313838|-1|97476|-1|-1,"ALi Corporation|Atmel Corporation|Cirrus Logic (Crystal Semiconductor)|Divio|ESS Technology, Inc.|LSI Logic|Matsushita|MediaTek Inc.|Motorola|National Semiconductor|Omnivision Technologies, Inc.|STMicroelectronics|Sony|Sunplus Technology|Texas Instruments|Winbond|Yamaha",863928|872448|772406|-1|907410|-1|-1|-1|68505|70530|1106851|932787|313838|-1|97476|-1|-1
CIK1003022_10K_20040315.txt,"ALi Corporation|ATI Technologies|Adobe Systems|Agilent|Atmel|Broadcom|Cheertek|Cirrus Logic|Conexant|Divio|ESS|Electronics for Imaging, Inc.|Fujitsu|LSI Logic|Matsushita|MediaTek|Motorola|National Semiconductor|Oasis Semiconductor|Omnivision|Peerless Systems|STMicroelectronics|Sony|Sunplus|TAK ASIC|Texas Instruments|Yamaha",863928|1065331|-1|1090872|872448|1730168|-1|772406|1069353|-1|907410|867374|39341|-1|-1|-1|68505|70530|1156934|1106851|897893|932787|313838|-1|-1|97476|-1,"ALi Corporation|ATI Technologies|Adobe Systems|Agilent|Atmel|Broadcom|Cheertek|Cirrus Logic|Conexant|Divio|ESS|Electronics for Imaging, Inc.|Fujitsu|IBM|LSI Logic|Matsushita|MediaTek|Motorola|National Semiconductor|Oasis Semiconductor|Omnivision|Peerless Systems|STMicroelectronics|Sony|Sunplus|TAK ASIC|Texas Instruments|Yamaha",863928|1065331|-1|1090872|872448|1730168|-1|772406|1069353|-1|907410|867374|39341|353524|-1|-1|-1|68505|70530|1156934|1106851|897893|932787|313838|-1|-1|97476|-1
CIK1003022_10K_20050331.txt,"ALi Corporation|ATI Technologies|Adobe Systems|Agilent|Broadcom|Cheertek|Cirrus Logic|Conexant|ESS|Electronics for Imaging, Inc.|Fujitsu|Genesis Microchip|Global Graphics|IBM|LSI Logic|Matsushita|MediaTek|Motorola|Oasis Semiconductor|Peerless Systems|STMicroelectronics|Sony|Sunplus|TAK Imaging|Texas Instruments|Trident Microsystems|Yamaha",863928|1065331|-1|1090872|1730168|-1|772406|1069353|907410|867374|39341|1161396|-1|353524|-1|-1|-1|68505|1156934|897893|932787|313838|-1|-1|97476|859475|-1,"ALi Corporation|ATI Technologies|Adobe Systems|Agilent|Broadcom|Cheertek|Cirrus Logic|Conexant|ESS|Electronics for Imaging, Inc.|Genesis Microchip|Global Graphics|IBM|LSI Logic|Matsushita|MediaTek|Oasis Semiconductor|Peerless Systems|STMicroelectronics|Sony|Sunplus|TAK Imaging|Texas Instruments|Trident Microsystems",863928|1065331|-1|1090872|1730168|-1|772406|1069353|907410|867374|1161396|-1|353524|-1|-1|-1|1156934|897893|932787|313838|-1|-1|97476|859475
CIK1003022_10K_20080229.txt,ALi Corporation|Applied Micro Devices|Broadcom|Cheertek|Cirrus Logic (Crystal Semiconductor)|ESS Technology Inc.|Freescale Semiconductor|Fujitsu|Global Graphics|LSI Corporation|M-Star|Magnum Semiconductor|Marvell Semiconductor|Matsushita|MediaTek|Mediatek|NEC|Novatech|Peerless Systems|Pixelworks|Renesas Technology|STMicroelectronics|Samsung|Sigmatel Inc.|Sunplus|Texas Instruments|Trident Microsystems|Yamaha,863928|-1|1730168|-1|772406|907410|1272547|39341|-1|703360|-1|-1|-1|-1|-1|-1|72127|-1|897893|1040161|-1|932787|-1|1043639|-1|97476|859475|-1,ALi Corporation|Applied Micro Devices|Broadcom|Cheertek|Cirrus Logic (Crystal Semiconductor)|ESS Technology Inc.|Freescale Semiconductor|Fujitsu|Global Graphics|LSI Corporation|M-Star|Magnum Semiconductor|Marvell Semiconductor|Matsushita|MediaTek|NEC|Novatech|Peerless Systems|Pixelworks|Renesas Technology|STMicroelectronics|Samsung|Sigmatel Inc.|Sunplus|Texas Instruments|Trident Microsystems|Yamaha,863928|-1|1730168|-1|772406|907410|1272547|39341|-1|703360|-1|-1|-1|-1|-1|72127|-1|897893|1040161|-1|932787|-1|1043639|-1|97476|859475|-1
CIK1003022_10K_20090226.txt,,,"AMD|Adobe|Ambarella|Broadcom Corp.|Conexant Systems, Inc.|CoreLogic|Fujitsu|Global Graphics|M-Star|Marvell Semiconductor, Inc.|MediaTek Inc.|Micronas|MtekVision Co. Ltd.|NXP|Novatech|ST Microelectronics|Sunplus Technology Co. Ltd.|Telechips Inc.|Texas Instruments, Inc.|Trident Microsystems, Inc.|nVidia",2488|796343|1280263|1730168|1069353|36047|39341|-1|-1|-1|-1|-1|-1|1413447|-1|-1|-1|873979|97476|859475|-1
