tic,conm,cik,sic
KTII,K-TRON INTERNATIONAL INC,20,3823
AIR,AAR CORP,1750,5080
TNZ,TRANZONIC COS,1761,2670
ABT,ABBOTT LABORATORIES,1800,3845
SERV.1,SERVIDYNE INC,1923,8700
3AMETE,AMETECH INC,1969,4955
IZML,ACCEL INTL CORP,1985,6331
ACETQ,ACETO CORP,2034,5160
ACMTA,ACMAT CORP  -CL A,2062,6351
ACEE,ACME ELECTRIC CORP,2070,3612
ACU,ACME UNITED CORP,2098,3842
DOCO.1,D O C OPTICS CORP,2131,5990
ACS,AFFILIATED COMPUTER SERVICES,2135,7374
PRHD,PRINCETON HOLDINGS INC,2145,5020
AE,ADAMS RESOURCES & ENERGY INC,2178,5172
BKTI,BK TECHNOLOGIES CORP,2186,3663
ADX,ADAMS DIVERSIFIED EQUITY FD,2230,6726
MTI.3,MULTIGRAPHICS INC,2310,5040
AROS.,ADVANCE ROSS CORP,2457,6099
AVCD,ADVANCED COMPUTER TECHNIQUES,2467,7373
AMD,ADVANCED MICRO DEVICES,2488,3674
BYI,BALLY TECHNOLOGIES INC,2491,3990
AERS.,AERO SYSTEMS ENGINEERING INC,2589,8711
AESM,AERO SYSTEMS INC,2590,5080
ARXX,AEROFLEX INC,2601,3825
ATPH,ARMSTRONG PHARMACEUTICALS,2618,2834
AFBK.,AFFILIATED BANKSHARES COLO,2682,6020
AEM,AGNICO EAGLE MINES LTD,2809,1040
AEENQ,AILEEN INC,2904,2253
APD,AIR PRODUCTS & CHEMICALS INC,2969,2810
ABF,AIRBORNE INC,3000,4513
AKRXQ,AKORN OPERATING COMPANY LLC,3116,2834
AKZOY,AKZO NOBEL NV,3124,2851
ASO.1,AMSOUTH BANCORPORATION,3133,6020
CECO,CECO ENVIRONMENTAL CORP,3197,3564
AWS.1,ALBA-WALDENSIAN INC,3292,2250
ABS.1,ALBERTSON'S INC,3333,5411
IKN,IKON OFFICE SOLUTIONS,3370,5040
ADNE,ALDEN ELECTRONICS INC,3398,3661
AAL.1,ALEXANDER & ALEXANDER,3449,6411
MATX,MATSON INC,3453,4400
ALX,ALEXANDER'S INC,3499,6798
3ALGD,ALGOREX CORP,3535,3672
ALCO,ALICO INC,3545,100
LNG,CHENIERE ENERGY INC,3570,1311
ALCI.1,ALLCITY INSURANCE CO,3642,6331
3SOCNQ,SUNBEAM CORPORATION,3662,2390
AYE,ALLEGHENY ENERGY INC,3673,4911
ALN.2,ALLEN TELECOM INC,3721,3663
AORGB,ALLEN ORGAN CO  -CL B,3753,3576
ALD.1,ALLIED CAPITAL CORP,3906,6159
9046B,THOR ENERGY RESOURCES INC,3933,1311
ADPC,ALLIED PRODUCTS,3941,3540
ADGI.3,ALLIED DEFENSE GROUP INC,3952,9995
ALY,ALLIS-CHALMERS ENERGY INC,3982,1381
SWKS,SKYWORKS SOLUTIONS INC,4127,3674
APNI,ALPINE GROUP INC,4164,3357
IDSA,INDUSTRIAL SERVICES AMER INC,4187,4953
HWM,HOWMET AEROSPACE INC,4281,3728
AL.1,ALCAN INC,4285,3350
AZA.1,ALZA CORP,4310,2834
SNTO,SENTO CORP,4317,7373
BSWY,BESTWAY INC,4344,7359
AMX.2,AMAX INC,4363,3334
AMH.1,AMDAHL CORP,4427,3571
HES,HESS CORP,4447,1311
UHAL,U-HAUL HOLDING CO,4457,7510
OJ,ORANGE-CO INC,4507,2030
ABLT,AMERICAN BILTRITE INC,4611,2670
ABP.2,AMERICAN BUSINESS PRODS/GA,4672,2670
ACY.1,AMERICAN CYANAMID CO,4829,2800
3ACYGE,AMERICAN CYTOGENETICS,4833,8071
AEP,AMERICAN ELECTRIC POWER CO,4904,4911
AELNA,AEL INDUSTRIES  -CL A,4911,3812
AXP,AMERICAN EXPRESS CO,4962,6141
AFL,AFLAC INC,4977,6321
AFIL,AMERICAN FILTRONA CORP,5009,3080
VBF,INVESCO BOND FUND,5094,6726
VXS,VAN KAMPEN CONV SEC FD,5099,6726
AGC.1,AMERICAN GENERAL CORP,5103,6311
AM.1,AMERICAN GREETINGS  -CL A,5133,2771
AHL.2,AMERICAN HERITAGE LIFE INVS,5172,6311
ADU,AMDURA CORP,5177,3420
WYE,WYETH,5187,2834
AIFC,AMERICAN INDTY FINL CORP,5227,6331
AIG,AMERICAN INTERNATIONAL GROUP,5272,6331
AMV.2,AMVESTORS FINANCIAL CORP,5320,6311
HAIPF,INFINYA LTD,5337,2621
AMZ.1,AMERICAN LIST CORP,5385,7331
AZE.A,AMERICAN MAIZE-PRODS  -CL A,5405,2040
UNM,UNUM GROUP,5513,6321
3ANUCE,AMERICAN NUCLEAR CORP,5550,9995
APPPQ,AMERICAN PAD & PAPER CO,5588,2670
FI.2,FINA INC  -CL A,5611,2911
APR.,AMERICAN PRECISION INDS,5657,3621
AMC.2,AMERAC ENERGY CORP,5696,1311
AMRC.1,AMERICAN RECREATION CENTERS,5719,7900
ASEI,AMERICAN SCIENCE ENGINEERING,5768,3844
3ASBG,AMERICAN SHIP BUILDING CO,5818,3730
T.2,AT&T CORP,5907,4813
CCME.1,CAREERCOM CORP,5931,8200
AVD,AMERICAN VANGUARD CORP,5981,2870
AMESQ,AMES DEPT STORES INC,6071,5331
AMOS,AMOSKEAG CO,6161,2211
AMP.2,AMP INC,6164,3678
AP,AMPCO-PITTSBURGH CORP,6176,3312
AAL,AMERICAN AIRLINES GROUP INC,6201,4512
AXR,AMREP CORP,6207,6552
ANCPA,ANACOMP INC,6260,7370
ADI,ANALOG DEVICES INC,6281,3674
ALOG,ANALOGIC CORP,6284,3845
ANLY,ANALYSTS INTERNATIONAL CORP,6292,7371
ANEN,ANAREN INC,6314,3663
MOCC,MOSCOW CABLECOM CORP,6383,4899
ANDR,ANDREA ELECTRONICS CORP,6494,3663
AGL.1,ANGELICA CORP,6571,7200
KTO,K2 INC,6720,3949
CFS,COMFORCE CORP,6814,8742
APOG,APOGEE ENTERPRISES INC,6845,3442
SSINQ,STAGE STORES INC,6885,5651
IVMX,APPLIED MAGNETICS CORP,6948,3679
AMAT,APPLIED MATERIALS INC,6951,3559
EPAC,ENERPAC TOOL GROUP CORP,6955,3533
0083A,ARAMARK CORP,7032,5812
TREC,TRECORA RESOURCES,7039,2911
ADM,ARCHER-DANIELS-MIDLAND CO,7084,2070
CNP2,NORAM ENERGY CORP,7314,4923
SWN,SOUTHWESTERN ENERGY CO,7332,1311
AS.,ARMCO INC,7383,3312
AWI,ARMSTRONG WORLD INDUSTRIES,7431,3290
AIRW.,ARROW AUTOMOTIVE INDUSTRIES,7533,3690
ARW,ARROW ELECTRONICS INC,7536,5065
ARTG.1,ARTISTIC GREETINGS INC,7610,2780
ARTW,ARTS WAY MFG INC,7623,3523
ARV,ARVIN INDUSTRIES INC,7636,3714
AR.2,ASARCO INC,7649,3330
ASB,ASSOCIATED BANC-CORP,7789,6020
AFS,ASSOCIATES FIRST CAP -CL A,7974,6141
NWXJ,ASTREX INC,8038,5065
ATRO,ASTRONICS CORP,8063,3640
3ASTZ,ASTROSYSTEMS INC,8065,3823
7200B,AT&E CORP,8076,3663
3ATPCQ,ATHEY PRODUCTS CORP,8109,3711
ATH.2,ATHLONE INDS,8117,3312
ICBK.,INTERCONTINENTAL BK MIAMI FL,8126,6020
ATKQ,ATKINSON (G F) CO/CA,8137,1600
ALOT,ASTRONOVA INC,8146,3577
AAME,ATLANTIC AMERICAN CORP,8177,6321
ATMR.1,ATLAS MINERALS INC,8302,1040
ATW,ATWOOD OCEANICS,8411,1381
AUG.1,AUGAT INC,8462,3714
UAVS,AGEAGLE AERIAL SYSTEMS,8504,3721
ATCR,AUTHENTICOLOR INC,8588,7384
ADP,AUTOMATIC DATA PROCESSING,8670,7374
3ATRNE,ARMATRON INTERNATIONAL INC,8699,3524
ABDR,AMBASSADOR FOOD SVCS CORP,8734,5812
AUTR.,AUTOTROL CORP,8759,3823
AVE.1,AVEMCO CORP,8802,6331
AVY,AVERY DENNISON CORP,8818,2670
ALGI,AMERICAN LOCKER GROUP INC,8855,2540
AVT,AVNET INC,8858,5065
AVP,AVON PRODUCTS,8868,2844
AYD,AYDIN CORP,8919,3663
AZZ,AZZ INC,8947,3470
BNL.1,BENEFICIAL CORP,8960,6141
BMI,BADGER METER INC,9092,3824
BPMI,BADGER PAPER MILLS INC,9096,2621
BKFG,BKF CAPITAL GROUP INC,9235,3572
BKR.1,BAKER (MICHAEL) CORP,9263,8711
BCPC,BALCHEM CORP  -CL B,9326,2860
BEZ,BALDOR ELECTRIC CO,9342,3621
PTVCB,PROTECTIVE INSURANCE CORP,9346,6331
BALL,BALL CORP,9389,3411
BLY,BALLY ENTERTAINMENT CORP,9435,7990
BTEK.1,BALTEK CORP,9442,2430
BOKCC,BANCOKLAHOMA CORP,9515,6020
BCV,BANCROFT FUND LTD,9521,6726
BDG.2,BANDAG INC,9534,3011
EMA1.,BANGOR HYDRO-ELECTRIC CO,9548,4911
BNS,BANK OF NOVA SCOTIA,9631,6020
SBK.1,SIGNET BANKING CORP,9659,6020
BT.2,BANKERS TRUST CORP,9749,6020
BIOW.1,BANKS OF IOWA,9767,6020
FCHDQ,FAIRCHILD CORP  -CL A,9779,2300
BN.2,BANTA CORP,9801,2750
BCR,BARD (C.R.) INC,9892,3841
B.2,BARNES GROUP INC,9984,3490
BBI.2,BARNETT BANKS INC,10012,6020
BRN,BARNWELL INDUSTRIES,10048,1311
BRL,BARR PHARMACEUTICALS INC,10081,2834
BARR,BARRINGER TECHNOLOGIES,10119,3829
3BASEA,BASE TEN SYSTEMS  -CL A,10242,9995
ESTE,EARTHSTONE ENERGY INC,10254,1311
BSET,BASSETT FURNITURE INDS,10329,2511
BAX,BAXTER INTERNATIONAL INC,10456,3841
BGC.2,BAY STATE GAS,10488,4923
BBNK.,BAYBANKS INC,10497,6020
BAYLQ,BAYLY CORP,10518,2320
BDX,BECTON DICKINSON & CO,10795,3841
3CRLH,CARLYLE INDUSTRIES INC,11027,3960
BMS,BEMIS CO INC,11199,2670
BENG,BENGUET CORP,11290,1000
BTHS,BENTHOS INC,11390,3812
BBC.1,BERGEN BRUNSWIG CORP  -CL A,11454,5122
WRB,BERKLEY (W R) CORP,11544,6331
BESOQ,BEST PRODUCTS,11821,5399
BEHP,BETHLEHEM CORP,11856,3567
3BHMSQ,BETHLEHEM STEEL CORP,11860,3312
BTL.1,BETZDEARBORN INC,11884,2890
BEVB.1,BEVERLY BANCORPORATION INC,11913,6020
BIC.,BIC CORP,11975,3950
