conm,tic,cik,sic
A & M FOOD SERVICES INC,AMFD.,723576,5812
AAI CORP,AAIC.1,1745,3825
A.A. IMPORTING CO INC,ANTQ,730052,5712
AAR CORP,AIR,1750,5080
ABKCO INDUSTRIES INC,4135B,1882,3652
ABS INDUSTRIES INC,ABSI.1,313368,3460
ACF INDUSTRIES INC,4165A,910627,3743
ACS ENTERPRISES INC,ACSE,702511,4841
ACS INDUSTRIES INC,6927B,2134,3357
ADC TELECOMMUNICATIONS INC,ADCT.1,61478,3661
ADDSCO INDUSTRIES INC,3ADDS,3141,6512
ADI ELECTRONICS INC,4327B,354609,3678
AEC INC,AECE,317539,3585
AEL INDUSTRIES  -CL A,AELNA,4911,3812
AES TECHNOLOGY SYSTEMS INC,2938B,2638,3861
AFA PROTECTIVE SYSTEMS INC,AFAP,2668,7380
AFG INDUSTRIES INC,5548C,7668,3211
AFP IMAGING CORP,IWKS,319126,3844
AGM INDUSTRIES INC,AGMN.1,2801,3714
AGS COMPUTERS INC,AGS.2,2844,5045
A I C INTL INC,4225B,2880,5040
AID INC-DEL CL A,AIDCA,2886,8062
AIM TELEPHONES INC,7547B,354173,7385
AKF FOODS INC,1412B,5340,2030
A L D INC,3ALDK,3392,3580
ALPHARMA INC  -CL A,ALO.2,730469,2834
UNITED DOMINION INDUSTRIES,UDI.,29590,3443
AM COMMUNICATIONS INC,AMCM.,318580,3663
AMC INVESTORS INC,AMC.3,1857,2300
AMF INC,AMF.2,6091,3949
AMI INDUSTRIES INC,ARCO.1,6113,2520
AMI SYSTEMS INC,AMIS.1,355713,3612
MULTIGRAPHICS INC,MTI.3,2310,5040
AMK CORP,AMK.3,6143,2011
AMERICAN AIRLINES GROUP INC,AAL,6201,4512
ANEFCO INC,3050B,352979,8711
ANR PIPELINE CO,4267A,65695,4922
CECO ENVIRONMENTAL CORP,CECE,3197,3564
API INSTRUMENTS CO,APW.1,6837,3670
API TRUST,APITS,6839,6798
AFI CORP,2250B,6940,3825
ASK GROUP INC,ASKI,354797,7373
AST RESEARCH INC,ASTA.,725182,3571
AEROFLEX INC,ARXX,2601,3825
ABEX CORP,8892A,1866,3743
APL CORP,4328B,6841,3089
ARI INDUSTRIES INC,ARII.,7202,3823
ASA GOLD AND PRECIOUS METALS,ASA,1230869,6799
ASI COMMUNICATIONS INC,1491B,7713,4832
AT&E CORP,7200B,8076,3663
ATE ENTERPRISES INC,ATEE,42211,8741
ATI INC,ATQ.1,929245,7389
ATV SYSTEMS INC,ATVSQ,724768,3578
AVC CORP,AVC.1,8789,3714
AVX CORP,AVX,859163,3670
AW COMPUTER SYSTEMS  -CL A,3AWCSA,319037,7373
AZL RESOURCES INC,AZL.,7237,3523
PINNACLE WEST CAPITAL CORP,PNW,764622,4911
PROG HOLDINGS INC,PRG,1808834,6141
ABBOTT LABORATORIES,ABT,1800,3845
ARP CORP,ARPC.,7522,3060
ABITIBI CONSOLIDATED INC,ABY.2,1039778,2621
SERVIDYNE INC,SERV.1,1923,8700
ACA JOE INC,3ACAJC,98707,5600
WORLDS INC,WDDD,1961,7370
AT&T TECHNOLOGIES INC,T1,106049,3661
AMETECH INC,3AMETE,1969,4955
ACADIA PETROLEUM CORP,ACAD.,320029,1311
ACAPULCO RESTAURANTS,ALAR,215005,5812
ACCESS CORP,1416B,1988,7370
ACCURAY CORP,ACRA.,50346,3823
ACETO CORP,ACETQ,2034,5160
ACKERLEY GROUP INC,AK,319120,4833
ACMAT CORP  -CL A,ACMTA,2062,6351
ACME-CLEVELAND CORP,AMT.1,869676,3661
ACME ELECTRIC CORP,ACEE,2070,3612
ACME GENERAL CORP,ACME.,2075,3420
ACME UNITED CORP,ACU,2098,3420
ACRO ENERGY CORP,ACRQE,79397,3433
ACE HARDWARE CORP,2675B,2024,5070
