fyear,conm,cik,sic
1990,AAR CORP,1750,5080
1991,AAR CORP,1750,5080
1992,AAR CORP,1750,5080
1993,AAR CORP,1750,5080
1994,AAR CORP,1750,5080
1995,AAR CORP,1750,5080
1996,AAR CORP,1750,5080
1997,AAR CORP,1750,5080
1998,AAR CORP,1750,5080
1999,AAR CORP,1750,5080
2000,AAR CORP,1750,5080
2001,AAR CORP,1750,5080
2002,AAR CORP,1750,5080
2003,AAR CORP,1750,5080
2004,AAR CORP,1750,5080
2005,AAR CORP,1750,5080
2006,AAR CORP,1750,5080
2007,AAR CORP,1750,5080
2008,AAR CORP,1750,5080
2009,AAR CORP,1750,5080
2010,AAR CORP,1750,5080
2011,AAR CORP,1750,5080
2012,AAR CORP,1750,5080
2013,AAR CORP,1750,5080
2014,AAR CORP,1750,5080
2015,AAR CORP,1750,5080
2016,AAR CORP,1750,5080
2017,AAR CORP,1750,5080
2018,AAR CORP,1750,5080
2019,AAR CORP,1750,5080
2020,AAR CORP,1750,5080
2021,AAR CORP,1750,5080
2022,AAR CORP,1750,5080
2023,AAR CORP,1750,5080
2024,AAR CORP,1750,5080
1990,ABS INDUSTRIES INC,313368,3460
1991,ABS INDUSTRIES INC,313368,3460
1992,ABS INDUSTRIES INC,313368,3460
1993,ABS INDUSTRIES INC,313368,3460
1994,ABS INDUSTRIES INC,313368,3460
1990,ACS ENTERPRISES INC,702511,4841
1991,ACS ENTERPRISES INC,702511,4841
1992,ACS ENTERPRISES INC,702511,4841
1993,ACS ENTERPRISES INC,702511,4841
1994,ACS ENTERPRISES INC,702511,4841
1990,ADC TELECOMMUNICATIONS INC,61478,3661
1991,ADC TELECOMMUNICATIONS INC,61478,3661
1992,ADC TELECOMMUNICATIONS INC,61478,3661
1993,ADC TELECOMMUNICATIONS INC,61478,3661
1994,ADC TELECOMMUNICATIONS INC,61478,3661
1995,ADC TELECOMMUNICATIONS INC,61478,3661
1996,ADC TELECOMMUNICATIONS INC,61478,3661
1997,ADC TELECOMMUNICATIONS INC,61478,3661
1998,ADC TELECOMMUNICATIONS INC,61478,3661
1999,ADC TELECOMMUNICATIONS INC,61478,3661
2000,ADC TELECOMMUNICATIONS INC,61478,3661
2001,ADC TELECOMMUNICATIONS INC,61478,3661
2002,ADC TELECOMMUNICATIONS INC,61478,3661
2003,ADC TELECOMMUNICATIONS INC,61478,3661
2004,ADC TELECOMMUNICATIONS INC,61478,3661
2005,ADC TELECOMMUNICATIONS INC,61478,3661
2006,ADC TELECOMMUNICATIONS INC,61478,3661
2007,ADC TELECOMMUNICATIONS INC,61478,3661
2008,ADC TELECOMMUNICATIONS INC,61478,3661
2009,ADC TELECOMMUNICATIONS INC,61478,3661
2010,ADC TELECOMMUNICATIONS INC,61478,3661
1990,AEL INDUSTRIES  -CL A,4911,3812
1991,AEL INDUSTRIES  -CL A,4911,3812
1992,AEL INDUSTRIES  -CL A,4911,3812
1993,AEL INDUSTRIES  -CL A,4911,3812
1994,AEL INDUSTRIES  -CL A,4911,3812
1990,AFP IMAGING CORP,319126,3844
1991,AFP IMAGING CORP,319126,3844
1992,AFP IMAGING CORP,319126,3844
1993,AFP IMAGING CORP,319126,3844
1994,AFP IMAGING CORP,319126,3844
1995,AFP IMAGING CORP,319126,3844
1996,AFP IMAGING CORP,319126,3844
1997,AFP IMAGING CORP,319126,3844
1998,AFP IMAGING CORP,319126,3844
1990,AIM TELEPHONES INC,354173,7385
