conm,cik,name_std,cik_retrieved_from_name
AAI CORP,1306124.0,AAI CORP,0000001745
WYETH,5187.0,WYETH,
AMERICAN OIL & GAS,746896.0,AMERICAN OIL & GAS,0001120916
PHLCORP,230046.0,PHLCORP,
NSTAR,1035675.0,NSTAR,
BROWNING,14825.0,BROWNING,
BUFFUMS,15218.0,BUFFUMS,
BUTLER INTL INC,15836.0,BUTLER INTL INC,0000786765
CAREMARK,353212.0,CAREMARK,
CHARTERCORP,36674.0,CHARTERCORP,
CITICORP,20405.0,CITICORP,
AON PLC,315293.0,AON PLC,0001808065
COMPUCORP,22910.0,COMPUCORP,
CRANE CO,1944013.0,CRANE CO,0000025445
DIAL CORP,215663.0,DIAL CORP,0001016179
ELKCORP,32017.0,ELKCORP,
FIDELCOR,35292.0,FIDELCOR,
FREEPORT MCMORAN INC,351116.0,FREEPORT MCMORAN INC,0000831259
HANDY & HARMAN,45333.0,HANDY & HARMAN,0000106618
HORIZON BANCORP,931332.0,HORIZON BANCORP,0000706129
INTL GAME TECHNOLOGY,353944.0,INTL GAME TECH,0001619762
KELLANOVA,55067.0,KELLANOVA,
MCORP,64924.0,MCORP,
MARSH,62709.0,MARSH,
MERIDIAN BANCORP INC,723916.0,MERIDIAN BANCORP INC,0001600125
MERVYNS,65155.0,MERVYNS,
MUELLER (PAUL) CO,68726.0,MUELLER CO,0000793707
OMNIMEDICAL,74497.0,OMNIMEDICAL,
PACIFICORP,75594.0,PACIFICORP,
CONOCOPHILLIPS,1163165.0,CONOCOPHILLIPS,
RAMPAC,82427.0,RAMPAC,
RHODES INC,83679.0,RHODES INC,0000083680
SERVISCO,899391.0,SERVISCO,
SMITH (A.O.),91142.0,SMITH,
KEYCORP,91576.0,KEYCORP,
ANDEAVOR,50104.0,ANDEAVOR,
TICOR,98178.0,TICOR,
UNIOIL,352710.0,UNIOIL,
XEBEC,712774.0,XEBEC,
DIRECTV,1465112.0,DIRECTV,
TEKELEC,790705.0,TEKELEC,
INFINITY BROADCASTING  -CL A,792863.0,INFINITY BROADCASTING,0001070518
LAURION MINERALS EXPL INC,1503768.0,LAURION MINERALS EXPL INC,0000751146
INTERSOLV,805330.0,INTERSOLV,
INTL CONSOL AIRLINES GROUP,1505706.0,INTL CONSOL AIRLINES GRP,0000809023
SIX FLAGS ENTERTAINMENT CORP,1999001.0,SIX FLAGS ENTERTAINMENT CORP,0000701374
BUSINESSMALL.COM,806277.0,BUSINESSMALLCOM,
WESTCORP,813461.0,WESTCORP,
EMCON,819977.0,EMCON,
MANPOWERGROUP,871763.0,MANPOWERGROUP,
SOTHEBY'S,823094.0,SOTHEBY'S,
METROBANK,813898.0,METROBANK,
VIRTUS TOTAL RETURN FUND INC,836412.0,VIRTUS TOTAL RETURN FUND INC,0001310445
HELIONETICS,319648.0,HELIONETICS,
ANGLO AMERICAN PLC,801973.0,ANGLO AMERICAN PLC,0001088370
BSB BANCORP,830257.0,BSB BANCORP,0001522420
COMMERCEBANCORP,720883.0,COMMERCEBANCORP,
PONCEBANK,783850.0,PONCEBANK,
LASERSCOPE,851737.0,LASERSCOPE,
VERSABANK,1690639.0,VERSABANK,
HARVEST FINANCIAL CORP,351952.0,HARVEST FINANCIAL CORP,0000857069
GREENPOWER MOTOR CO INC,1584547.0,GREENPOWER MOTOR CO INC,0001595675
SYS,96057.0,SYS,
UNITI GROUP INC,2020795.0,UNITI GRP INC,0001620280
ALTABANCORP,1636286.0,ALTABANCORP,
DASEKE INC,1642453.0,DASEKE INC,0001607849
TRANSUNION,1552033.0,TRANSUNION,
MAJESCO,1626853.0,MAJESCO,
SPORTSTOWN,884801.0,SPORTSTOWN,
BOUNCEBACKTECHNOLOGIES.COM,899778.0,BOUNCEBACKTECHNOLOGIESCOM,
CINCINNATI BANCORP,1787005.0,CINCINNATI BANCORP,0001635484
HEALTHCARE REALTY TRUST INC,1360604.0,HLTHCR REALTY TRUST INC,0000899749
MASISA SA,900335.0,MASISA SA,0001216559
ENERFLEX LTD,1904856.0,ENERFLEX LTD,0001175673
ATS CORP,1394832.0,ATS CORP,0001325460
AFFINITY BANCSHARES INC,1823406.0,AFFINITY BANCSHARES INC,0001691507
METROBANCORP,818999.0,METROBANCORP,
ASPEN TECHNOLOGY INC,1897982.0,ASPEN TECH INC,0000929940
